company_name,city,phone_primary,website,source_url,priority,contact_status,next_step,notes
"Plomberie AMS","La Prairie","438-796-5748","http://plomberieams.com/","https://www.yellowpages.ca/bus/Quebec/La-Prairie/Plomberie-AMS/101486928.html","high","not contacted","Call first","Residential/commercial; repairs; camera inspection; South Shore coverage"
"Kevin Chevrette Plomberie Excavation","Chambly","450-912-1490","https://www.kcplomberie.ca/","https://www.yellowpages.ca/bus/Quebec/Chambly/Kevin-Chevrette-Plomberie-Excavation/100440222.html","medium","not contacted","Call after priority leads","Experienced plumber; residential/commercial/industrial; 24h availability mentioned"
"Entreprise De Plomberie R.S.C. Inc.","Chambly","450-500-2067","https://rscplomberie.com/index.php","https://www.yellowpages.ca/bus/Quebec/Chambly/Entreprise-De-Plomberie-R-S-C-Inc/104879075.html","high","not contacted","Call first","24/7 listing; Chambly service plumber"
"Atelier Plomberie Rabastaliere Ltee","Saint-Bruno","450-653-8426","","https://www.yellowpages.ca/bus/Quebec/Saint-Bruno/Atelier-Plomberie-Rabastaliere-Ltee/7931092.html","medium","not contacted","Call after priority leads","Emergency service; residential/commercial/industrial; drain unclogging"
"Plomberie David Tessier","Saint-Mathias-Sur-Richelieu","450-403-3324","http://www.plomberiedavidtessier.com/","https://www.yellowpages.ca/bus/Quebec/Saint-Mathias-Sur-Richelieu/Plomberie-David-Tessier/100442322.html","medium","not contacted","Call after priority leads","Residential plumber; sink and toilet replacement"
"Plomberie Sonic","Montreal","438-803-0553","https://www.sonicplomberie.ca/","https://www.yellowpages.ca/bus/Quebec/Montreal/Plomberie-Sonic/104667779.html","high","not contacted","Call first","24/7 emergency; drain unclogging; hydro-jetting"
"Plomberie - chauffage R. Lalumiere Inc.","Montreal","438-604-5674","","https://www.yellowpages.ca/bus/Quebec/Montreal/Plomberie-chauffage-R-Lalumiere-Inc/7790969.html","medium","not contacted","Call after priority leads","30+ years; residential/commercial/industrial plumbing"
"Plomberie Drains Mont-Royal","Montreal","514-400-2174","https://www.plomberiedrainsmont-royal.com/","https://www.yellowpages.ca/bus/Quebec/Montreal/Plomberie-Drains-Mont-Royal/7623932.html","high","not contacted","Call first","Emergency service; drain cleaning; residential/commercial"
"Jean-Lapierre et Freres Inc","Montreal","514-265-1327","http://www.plomberielapierre.com/","https://www.yellowpages.ca/bus/Quebec/Montreal/Jean-Lapierre-et-Freres-Inc/2947956.html","medium","not contacted","Call after priority leads","Commercial specialist with residential repair/renovation"
"Doctor Drain Plomberie Duchesne","Montreal","514-819-0137","https://plumbermontreal.ca/","https://www.yellowpages.ca/bus/Quebec/Montreal/Doctor-Drain-Plomberie-Duchesne/8034154.html","high","not contacted","Call first","Drain cleaning; camera inspection; heating and plumbing"
"R. S. Plomberie Inc","Montreal","514-725-6531","https://www.rsplomberie.ca/","https://www.yellowpages.ca/bus/Quebec/Montreal/R-S-Plomberie-Inc/1297756.html","medium","not contacted","Call after priority leads","Family business; repair; installation; renovation"
"Plomberie Claude Limoges","Montreal","514-277-4900","http://plomberieclaudelimoges.placeweb.site/","https://www.yellowpages.ca/bus/Quebec/Montreal/Plomberie-Claude-Limoges/1244901.html","medium","not contacted","Call after priority leads","Drain unclogging; renovation; gas/natural gas work"
"Plomberie Boucher Inc","Anjou","514-353-8794","http://www.facebook.com/508600076015376","https://www.yellowpages.ca/bus/Quebec/Anjou/Plomberie-Boucher-Inc/4339291.html","low","not contacted","Call if list runs thin","Anjou plumber; basic service listing"
"Borenstein Plumbing & Heating Inc","Lachine","514-416-7994","http://www.borensteinplumbing.ca/","https://www.yellowpages.ca/bus/Quebec/Lachine/Borenstein-Plumbing-Heating-Inc/8152771.html","high","not contacted","Call first","Since 1926; emergency repairs; renovations and repairs"
"Plomberie Levine Bros. Ltee","Saint-Laurent","514-735-8141","","https://www.yellowpages.ca/bus/Quebec/Saint-Laurent/Plomberie-Levine-Bros-Ltee/3509989.html","medium","not contacted","Call after priority leads","Family-owned; plumbing/heating; residential/commercial/industrial"
"Plumteck Deblocage Drain","Laval","438-604-5815","http://plumteckdeblocagedrain.ca/","https://www.yellowpages.ca/bus/Quebec/Laval/Plumteck-Deblocage-Drain/8045023.html","high","not contacted","Call first","Drain unclogging; fast service; leak and low-pressure issues"
"Plomberie Chauffage F L R Inc","Laval","438-801-5266","http://www.plomberiechauffageflrinc.com/","https://www.yellowpages.ca/bus/Quebec/Laval/Plomberie-Chauffage-F-L-R-Inc/2766241.html","medium","not contacted","Call after priority leads","27+ years; plumbing and heating contractor"
"A & L Plomberie Inc","Laval","450-231-1138","http://www.alplomberie.com/","https://www.yellowpages.ca/bus/Quebec/Laval/A-L-Plomberie-Inc/7540.html","high","not contacted","Call first","Since 1973; emergency 24h; owner-direct calls"
"Plomberie Chauffage MGF Inc","Laval","438-793-4859","http://www.plomberiemgf.com/","https://www.yellowpages.ca/bus/Quebec/Laval/Plomberie-Chauffage-MGF-Inc/7654503.html","high","not contacted","Call first","Service 24h; residential/commercial; drains and water heaters"
"Plomberie Potentiel Inc","Laval","514-463-3014","http://plomberiepotentiel.com/","https://www.yellowpages.ca/bus/Quebec/Laval/Plomberie-Potentiel-Inc/102714724.html","high","not contacted","Call first","24/7; water heaters; sewer unblocking; sump pumps"
"Drains Clearflow Inc.","Laval","514-833-4558","https://drainsclearflow.ca/","https://www.yellowpages.ca/bus/Quebec/Laval/Drains-Clearflow-Inc/105119006.html","high","not contacted","Call first","Drain unclogging; cleaning; inspection"
"Plomberie Bernard Inc","Chomedey","450-682-8333","","https://www.yellowpages.ca/bus/Quebec/Chomedey/Plomberie-Bernard-Inc/2670072.html","low","not contacted","Call if list runs thin","Basic Chomedey/Laval plumbing contractor listing"
"Plomberie Claude Carmel","Laval","514-386-3750","http://plomberieclaude.com/","https://www.yellowpages.ca/bus/Quebec/Laval/Plomberie-Claude-Carmel/100461894.html","medium","not contacted","Call after priority leads","Laval plumber; evening hours shown"
